Access to formal-informal education services for children from displaced hhs,Location of formal informal education facilities services for children from displaced hhs,Distance to nearest education facility,Children at the site attending school,Sufficient learning,Trained moe teachers in this community,Reason 1,Reason 2,Reason 3,Enough teachers,Females not attending,Males not attending,Are there any people in this community skilled and willing to volunteer for education,If there were any community-led education activities would the children in your community attend,Hh,Ind,Location type,Site accessibility,Site safe area,State,LGA,Ward,Most common type of shelter,Living outside,Living emergency shelter,Living makeshift shelter,Living indoors,Security is provided on-site,Security incidents are reported in the site,Who provides the main security in the site,Most prevalent health problem,Access to health facility,Screening for malnutrition conducted on site muac,Supplementary feeding
No,,,none,Classrooms not crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work at the house,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,12,65,IDPs,Yes,Yes,Adamawa,Mubi South,Gella,Rented house,,,,51%-75%,Yes,Yes,Community,Fever,Yes,No,No
No,,,none,Classrooms not crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,19,105,IDPs,Yes,Yes,Adamawa,Mubi South,Gella,Rented house,,,,>75%,Yes,Yes,Community,Fever,Yes,No,No
No,,,none,Classrooms not crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs,Early marriage ,Yes,Yes,21,100,IDPs,Yes,Yes,Adamawa,Mubi South,Gella,Rented house,,,,>75%,Yes,Yes,Community,Fever,Yes,No,No
Yes,On-site,<5km,25%-50%,Classrooms not crowded,Yes,Lack of school supplies,Fees or costs,Work at the house,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs,Early marriage ,Yes,Yes,83,1065,Returns,Yes,Yes,Adamawa,Mubi South,Gella,Transitional shelter,,25%-50%,<25%,<25%,No,Yes,,Malaria,Yes,Yes,No
No,,,none,Classrooms not crowded,Yes,Fees or costs,Lack of school supplies,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are not crowded",Early marriage pregnancy,Early marriage ,Yes,Yes,243,2170,Returns,Yes,Yes,Adamawa,Mubi South,Gella,Communal shelter,,25%-50%,25%-50%,25%-50%,Yes,Yes,Police,Malaria,Yes,Yes,No
Yes,On-site,<5km,25%-50%,Classrooms not crowded,Yes,Fees or costs,Lack of school supplies,Lack of teachers,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Distance to school,Distance to school fees or costs,No,No,163,1427,Returns,Yes,Yes,Adamawa,Mubi South,Gella,Communal shelter,,25%-50%,25%-50%,<25%,Yes,Yes,Police,Fever,Yes,Yes,No
Yes,On-site,<10km,25%-50%,Classrooms not crowded,Yes,Fees or costs,Work at the house,Lack of teachers,"Enough teachers/Volunteers are available, classrooms are not crowded",Early marriage pregnancy,Lack of facilities separated by sex,Yes,Yes,406,3750,Returns,Yes,Yes,Adamawa,Mubi South,Gella,Communal shelter,,25%-50%,25%-50%,<25%,Yes,Yes,Police,Fever,Yes,Yes,No
Yes,On-site,<10km,25%-50%,Classrooms not crowded,Yes,Lack of school supplies,Work at the house,Fees or costs,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs,Distance to school,Yes,Yes,310,2884,Returns,Yes,Yes,Adamawa,Mubi South,Gella,Communal shelter,,25%-50%,25%-50%,25%-50%,Yes,Yes,Police,Malaria,Yes,Yes,No
No,,,none,Classrooms are crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,81,423,IDPs,Yes,Yes,Adamawa,Mubi South,Gude,Rented house,,,,51%-75%,Yes,Yes,Community,Malaria,Yes,No,No
No,,,none,Classrooms not crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work at the house,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,16,71,IDPs,Yes,Yes,Adamawa,Mubi South,Gude,Rented house,,<25%,25%-50%,<25%,Yes,Yes,Community,Fever,Yes,No,No
No,,,none,Classrooms are crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,193,1117,IDPs,Yes,Yes,Adamawa,Mubi South,Gude,Rented house,,,<25%,25%-50%,Yes,Yes,Community,Malaria,Yes,No,No
No,,,none,Classrooms not crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,18,104,IDPs,Yes,Yes,Adamawa,Mubi South,Gude,Rented house,,,,51%-75%,Yes,Yes,Community,Malaria,Yes,No,No
Yes,On-site,<10km,none,Classrooms not crowded,Yes,Lack of school supplies,School is damaged or destroyed,Fees or costs,"Enough teachers/Volunteers are available, classrooms are not crowded",They are working early marriage pregnancy,Early marriage ,Yes,No,21,137,Returns,Yes,No,Adamawa,Mubi South,Gude,Communal shelter,,25%-50%,<25%,,No,Yes,,Fever,Yes,Yes,No
Yes,On-site,<1km,25%-50%,Classrooms not crowded,Yes,Lack of school supplies,"School is occupied (by families, military, etc.)",Work at the house,"Enough teachers/Volunteers are available, classrooms are not crowded",Early marriage pregnancy,Early marriage ,Yes,No,567,5004,Returns,Yes,Yes,Adamawa,Mubi South,Gude,Communal shelter,,25%-50%,25%-50%,<25%,Yes,Yes,Police,Malaria,Yes,No,No
No,,,none,Classrooms not crowded,Yes,Lack of teachers,"School is occupied (by families, military, etc.)",Work at the house,"Enough teachers/Volunteers are available, classrooms are not crowded",They are working lack of food at home and school,Fees or costs,Yes,No,401,2771,Returns,Yes,Yes,Adamawa,Mubi South,Gude,Communal shelter,,25%-50%,25%-50%,25%-50%,No,No,,Cough,No,No,No
No,,,none,Classrooms not crowded,No,Lack of school supplies,Lack of teachers,Fear of violence,"Enough teachers/Volunteers are available, classrooms are not crowded",Early marriage pregnancy,Lack of space in local schools,Yes,Yes,715,6395,Returns,Yes,Yes,Adamawa,Mubi South,Gude,Communal shelter,,25%-50%,<25%,<25%,No,No,,Fever,No,No,No
No,,,none,Classrooms not crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,11,47,IDPs,Yes,Yes,Adamawa,Mubi South,Kwaja,Rented house,,,,>75%,Yes,Yes,Community,Malaria,Yes,No,No
No,,,none,Classrooms not crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work at the house,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,10,51,IDPs,Yes,Yes,Adamawa,Mubi South,Kwaja,Rented house,,,,>75%,Yes,Yes,Community,Malaria,Yes,No,No
Yes,Off-site,<5km,<25%,No enough learning space,Yes,Work in the fields,Fees or costs,Lack of teachers,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage/pregnancy fees or costs,They are working,No,No,155,1034,Returns,Yes,Yes,Adamawa,Mubi South,Kwaja,Rented house,,,<25%,25%-50%,Yes,Yes,Community,Malaria,No,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Fees or costs,School is damaged or destroyed,Lack of teachers,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Safety concerns early marriage pregnancy,They are working lack of food at home and school,No,Yes,218,1738,Returns,Yes,Yes,Adamawa,Mubi South,Kwaja,Communal shelter,,,<25%,>75%,Yes,Yes,Local authorities,Malaria,No,Unknown,Unknown
Yes,On-site,<5km,25%-50%,No enough learning space,Yes,Lack of parental/Care givers support,Work at the house,School is damaged or destroyed,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage/pregnancy,They are working lack of food at home and school,Yes,No,327,2593,Returns,Yes,Yes,Adamawa,Mubi South,Kwaja,Communal shelter,,,<25%,25%-50%,Yes,Yes,Community,Malaria,Yes,No,Unknown
Yes,Off-site,<2km,25%-50%,No enough learning space,Yes,Work in the fields,Lack of teachers,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy,Fees or costs,No,Yes,265,2254,Returns,Yes,Yes,Adamawa,Mubi South,Kwaja,Communal shelter,,,<25%,25%-50%,Yes,Yes,Local authorities,Malaria,Yes,Unknown,No
No,,,none,Classrooms not crowded,Yes,Fees or costs,Work in the fields,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,52,269,IDPs,Yes,Yes,Adamawa,Mubi South,Lamorde,Rented house,,,,>75%,Yes,Yes,Community,Malaria,Yes,No,No
No,,,none,Classrooms not crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,15,78,IDPs,Yes,Yes,Adamawa,Mubi South,Lamorde,Rented house,,,,>75%,Yes,Yes,Community,Fever,Yes,No,No
No,,,none,Classrooms not crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs,Early marriage ,Yes,Yes,70,387,IDPs,Yes,Yes,Adamawa,Mubi South,Lamorde,Rented house,,<25%,25%-50%,51%-75%,Yes,Yes,Community,Cough,Yes,No,No
No,,,none,Classrooms are crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs early marriage ,Yes,Yes,312,1130,IDPs,Yes,Yes,Adamawa,Mubi South,Lamorde,Rented house,,,,25%-50%,Yes,Yes,Community,Malaria,Yes,No,No
No,,,none,Classrooms not crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,27,142,IDPs,Yes,Yes,Adamawa,Mubi South,Lamorde,Rented house,,,,>75%,Yes,Yes,Community,Fever,Yes,No,No
No,,,none,Classrooms not crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,48,157,IDPs,Yes,Yes,Adamawa,Mubi South,Lamorde,Rented house,,,,51%-75%,Yes,Yes,Community,Malaria,Yes,No,No
Yes,On-site,<5km,25%-50%,No enough learning space,Yes,Fees or costs,Work in the fields,Work at the house,Largely insufficient number of teachers/Volunteers are available,Early marriage/pregnancy,They are working,Yes,Yes,99,604,Returns,Yes,Yes,Adamawa,Mubi South,Lamorde,Communal shelter,,,<25%,25%-50%,Yes,Yes,Police,Malaria,Yes,Unknown,No
Yes,On-site,<5km,25%-50%,No enough learning space,Yes,Lack of school supplies,Work in the fields,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage/pregnancy,They are working,Yes,Yes,524,3793,Returns,Yes,Yes,Adamawa,Mubi South,Lamorde,Communal shelter,,,<25%,25%-50%,Yes,Yes,Police,Malaria,Yes,Unknown,Unknown
Yes,On-site,<5km,25%-50%,No enough learning space,No,Fees or costs,Work in the fields,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage/pregnancy,They are working,Yes,Yes,114,1626,Returns,Yes,Yes,Adamawa,Mubi South,Lamorde,Communal shelter,,,<25%,25%-50%,Yes,Yes,Police,Malaria,Yes,Unknown,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Fees or costs,Work in the fields,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage/pregnancy,Fees or costs,Yes,Yes,656,5118,Returns,Yes,Yes,Adamawa,Mubi South,Lamorde,Communal shelter,,,<25%,25%-50%,Yes,Yes,Police,Malaria,Yes,Unknown,Unknown
Yes,Off-site,<5km,<25%,No enough learning space,No,Fees or costs,Work in the fields,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage/pregnancy,Fees or costs,Yes,Yes,545,4239,Returns,Yes,Yes,Adamawa,Mubi South,Lamorde,Communal shelter,,,<25%,<25%,Yes,Yes,Police,Malaria,Yes,Unknown,Unknown
Yes,On-site,<5km,25%-50%,No enough learning space,Yes,Lack of school supplies,Work at the house,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage/pregnancy,They are working,Yes,Yes,349,2419,Returns,Yes,Yes,Adamawa,Mubi South,Lamorde,Rented house,,,<25%,25%-50%,Yes,Yes,Police,Malaria,Yes,Unknown,Unknown
No,,,none,Classrooms not crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,48,233,IDPs,Yes,Yes,Adamawa,Mubi South,Mugulbu/ Yadafa,Rented house,,,51%-75%,<25%,Yes,Yes,Community,Cough,Yes,No,No
No,,,none,Classrooms not crowded,Yes,Fees or costs,Work in the fields,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,29,247,IDPs,Yes,Yes,Adamawa,Mubi South,Mugulbu/ Yadafa,Rented house,,,25%-50%,51%-75%,Yes,Yes,Community,Cough,Yes,No,No
Yes,On-site,<5km,25%-50%,No enough learning space,Yes,Fees or costs,Work in the fields,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs early marriage/pregnancy,They are working fees or costs,Yes,No,350,2790,Returns,Yes,Yes,Adamawa,Mubi South,Mugulbu/ Yadafa,Communal shelter,,,<25%,25%-50%,Yes,Yes,Police,Malaria,Yes,No,No
Yes,On-site,<5km,25%-50%,No enough learning space,Yes,Fees or costs,Work at the house,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage/pregnancy fees or costs,They are working fees or costs,Yes,Yes,272,3937,Returns,Yes,Yes,Adamawa,Mubi South,Mugulbu/ Yadafa,Communal shelter,,25%-50%,25%-50%,51%-75%,Yes,Yes,Police,Malaria,Yes,Unknown,Unknown
Yes,On-site,<10km,25%-50%,No enough learning space,Yes,Work in the fields,Fees or costs,Lack of teachers,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of facilities separated by sex,Fees or costs they are working,Yes,Yes,80,574,Returns,Yes,Yes,Adamawa,Mubi South,Mugulbu/ Yadafa,Communal shelter,,<25%,25%-50%,25%-50%,Yes,Yes,Police,Cough,Yes,Unknown,Unknown
No,,,none,Classrooms not crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are not crowded",Early marriage pregnancy fees or costs,Fees or costs they are working,Yes,Yes,56,277,IDPs,Yes,Yes,Adamawa,Mubi South,Mujara,Rented house,,,<25%,51%-75%,Yes,Yes,Community,Malaria,Yes,No,No
No,,,none,Classrooms not crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work at the house,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,24,89,IDPs,Yes,Yes,Adamawa,Mubi South,Mujara,Rented house,,,,>75%,Yes,Yes,Community,Malaria,Yes,No,No
No,,,none,Classrooms not crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,80,329,IDPs,Yes,Yes,Adamawa,Mubi South,Mujara,Rented house,,,,>75%,Yes,Yes,Community,Malaria,Yes,No,No
No,,,none,Classrooms not crowded,No,Work at the house,Fees or costs,Lack of teachers,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Early marriage/pregnancy,Early marriage ,Yes,No,193,1101,Returns,Yes,Yes,Adamawa,Mubi South,Mujara,Transitional shelter,,25%-50%,<25%,25%-50%,Yes,Yes,Police,Fever,No,Yes,No
Yes,On-site,<2km,<25%,Classrooms not crowded,Yes,Fees or costs,Lack of school supplies,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are not crowded",Lack of food at home and school,Distance to school,Yes,Yes,107,692,Returns,Yes,Yes,Adamawa,Mubi South,Mujara,Communal shelter,,25%-50%,51%-75%,25%-50%,Yes,Yes,Military,Malaria,Yes,No,No
No,,,none,Classrooms are crowded,Yes,Lack of teachers,Lack of school supplies,Fees or costs,"Enough teachers/Volunteers are available, classrooms are not crowded",Lack of documentation,Disabilities lack of space in local schools,Yes,Yes,434,3586,Returns,Yes,Yes,Adamawa,Mubi South,Mujara,Transitional shelter,,25%-50%,51%-75%,51%-75%,No,No,,Hepatitis,Yes,Yes,No
Yes,On-site,<10km,25%-50%,Classrooms not crowded,Yes,Fees or costs,Lack of school supplies,Work at the house,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs,Lack of space in local schools,Yes,Yes,135,1125,Returns,Yes,Yes,Adamawa,Mubi South,Mujara,Communal shelter,,25%-50%,51%-75%,25%-50%,Yes,Yes,Police,Fever,Yes,No,No
Yes,On-site,<10km,51%-75%,Classrooms not crowded,Yes,Work at the house,Fees or costs,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are not crowded",Lack of food at home and school,Early marriage ,Yes,Yes,165,1398,Returns,Yes,Yes,Adamawa,Mubi South,Mujara,Communal shelter,,25%-50%,25%-50%,51%-75%,Yes,Yes,Police,Malaria,Yes,Yes,No
Yes,On-site,<5km,25%-50%,Classrooms not crowded,Yes,Fees or costs,Lack of school supplies,Lack of teachers,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Early marriage pregnancy fees or costs,They are working,Yes,Yes,211,1723,Returns,Yes,Yes,Adamawa,Mubi South,Mujara,Communal shelter,,25%-50%,25%-50%,<25%,Yes,Yes,Police,Fever,Yes,Yes,Yes
No,,,none,Classrooms not crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,168,728,IDPs,Yes,Yes,Adamawa,Mubi South,Nassarawo,Rented house,,,,>75%,Yes,Yes,Community,Cough,Yes,No,No
No,,,none,Classrooms not crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,75,331,IDPs,Yes,Yes,Adamawa,Mubi South,Nassarawo,Rented house,,,<25%,25%-50%,Yes,Yes,Community,Cough,Yes,No,No
No,,,none,Classrooms are crowded,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,101,738,IDPs,Yes,Yes,Adamawa,Mubi South,Nassarawo,Rented house,,,,>75%,Yes,Yes,Community,Cough,Yes,No,No
No,,,none,Classrooms not crowded,Yes,Fees or costs,Lack of teachers,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are not crowded",Early marriage pregnancy,Distance to school,Yes,Yes,539,4482,Returns,Yes,Yes,Adamawa,Mubi South,Nassarawo,Transitional shelter,,25%-50%,51%-75%,51%-75%,Yes,No,Police,Malaria,Yes,No,Yes
Yes,On-site,<10km,25%-50%,Classrooms not crowded,No,Lack of parental/Care givers support,Work in the fields,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are not crowded",Early marriage pregnancy lack of documentation,Fees or costs,Yes,No,237,2110,Returns,Yes,Yes,Adamawa,Mubi South,Nassarawo,Transitional shelter,,51%-75%,25%-50%,25%-50%,Yes,Yes,Police,Cough,Yes,No,No
No,,,none,Classrooms not crowded,No,Fees or costs,Lack of school supplies,Violence/Risks at the school or to/From the school,"Enough teachers/Volunteers are available, classrooms are not crowded",Early marriage pregnancy,Fees or costs,Yes,No,367,2905,Returns,Yes,Yes,Adamawa,Mubi South,Nassarawo,Transitional shelter,,25%-50%,25%-50%,51%-75%,Yes,Yes,Police,Cough,Yes,No,No
Yes,On-site,<2km,<25%,Classrooms not crowded,No,Fees or costs,Lack of teachers,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are not crowded",Lack of documentation,Fees or costs,Yes,Yes,248,2230,Returns,Yes,Yes,Adamawa,Mubi South,Nassarawo,Transitional shelter,,25%-50%,51%-75%,51%-75%,Yes,Yes,Police,Fever,Yes,Yes,No
Yes,On-site,<5km,25%-50%,Classrooms not crowded,Yes,Fees or costs,Lack of teachers,Fear of violence,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Disabilities,Disabilities,Yes,Yes,263,1057,Returns,Yes,Yes,Adamawa,Mubi South,Nassarawo,Communal shelter,,25%-50%,25%-50%,51%-75%,Yes,Yes,Police,RTI,Yes,Yes,Yes
No,,,none,Classrooms not crowded,Yes,Fees or costs,Work in the fields,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,Yes,Yes,5,30,IDPs,Yes,Yes,Adamawa,Mubi South,Nduku,Rented house,,,,51%-75%,Yes,Yes,Community,Malaria,Yes,No,No
Yes,On-site,<5km,<25%,No enough learning space,No,Fees or costs,Work in the fields,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs early marriage/pregnancy,They are working,No,No,16,90,Returns,Yes,Yes,Adamawa,Mubi South,Nduku,Transitional shelter,,,<25%,,Yes,Yes,Local authorities,Malaria,Yes,Unknown,Unknown
Yes,On-site,<10km,25%-50%,No enough learning space,No,Work in the fields,Fees or costs,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs,Early marriage ,No,No,858,4344,Returns,Yes,Yes,Adamawa,Mubi South,Nduku,Transitional shelter,,,,,Yes,Yes,Local authorities,Malaria,Yes,No,No
Yes,On-site,<5km,25%-50%,No enough learning space,No,Work in the fields,Fees or costs,Lack of school supplies,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage/pregnancy,They are working,No,Yes,491,2821,Returns,Yes,Yes,Adamawa,Mubi South,Nduku,Communal shelter,,,<25%,25%-50%,Yes,Yes,Community,Malaria,Yes,No,No
Yes,On-site,<2km,51%-75%,No enough learning space,Yes,Lack of school supplies,Lack of teachers,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,They are working lack of food at home and school,Yes,Yes,543,3801,IDPs,Yes,No,Adamawa,Numan,Bare,Communal shelter,,,>75%,25%-50%,Yes,Yes,Community,Malaria,Yes,No,No
Yes,On-site,<2km,51%-75%,No enough learning space,Yes,Lack of school supplies,Lack of teachers,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,Lack of food at home and school they are working,Yes,Yes,218,1526,IDPs,Yes,Yes,Adamawa,Numan,Bare,Communal shelter,,,>75%,<25%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of teachers,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,72,504,IDPs,Yes,Yes,Adamawa,Numan,Gamadio,Communal shelter,,,>75%,<25%,No,No,,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of teachers,Lack of school supplies,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,50,350,IDPs,Yes,Yes,Adamawa,Numan,Gamadio,Communal shelter,,,>75%,<25%,No,No,,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of teachers,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,48,336,IDPs,Yes,Yes,Adamawa,Numan,Gamadio,Communal shelter,,<25%,>75%,25%-50%,No,Yes,,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of teachers,Lack of school supplies,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,They are working lack of food at home and school,Yes,Yes,102,714,Returns,Yes,Yes,Adamawa,Numan,Gamadio,Communal shelter,,,51%-75%,25%-50%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of teachers,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,They are working lack of food at home and school,Yes,Yes,103,721,Returns,Yes,No,Adamawa,Numan,Gamadio,Communal shelter,,,51%-75%,<25%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of teachers,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,They are working lack of food at home and school,Yes,Yes,129,903,Returns,Yes,Yes,Adamawa,Numan,Gamadio,Communal shelter,,,>75%,25%-50%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of school supplies,Work in the fields,Lack of teachers,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,132,924,IDPs,Yes,Yes,Adamawa,Numan,Imburu,Rented house,,,>75%,25%-50%,No,No,,Malaria,Yes,No,No
Yes,On-site,<2km,51%-75%,No enough learning space,Yes,Lack of school supplies,Lack of teachers,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,They are working lack of food at home and school,Yes,Yes,225,1575,IDPs,Yes,Yes,Adamawa,Numan,Kodomti,Communal shelter,,,>75%,<25%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of teachers,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,157,1099,IDPs,Yes,Yes,Adamawa,Numan,Kodomti,Communal shelter,,,>75%,25%-50%,No,Yes,,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of school supplies,Lack of teachers,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,168,1176,IDPs,Yes,Yes,Adamawa,Numan,Kodomti,Communal shelter,,,>75%,<25%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,51%-75%,No enough learning space,Yes,Lack of school supplies,Lack of teachers,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,346,2422,IDPs,Yes,Yes,Adamawa,Numan,Kodomti,Communal shelter,,,>75%,25%-50%,No,No,,Malaria,Yes,No,No
